Player;Team;Position;Age;Contract expires;Minutes played;Goals;xG;PAdj Interceptions;Successful attacking actions per 90;Goals per 90;xG per 90;Shots per 90;Shots on target, %;Goal conversion, %;Offensive duels won, %;Touches in box per 90;Accelerations per 90;Short / medium passes per 90;Shot assists per 90
M. Baaloudj;Versailles;CF, LW, LAMF;23;;1373;7;5,23;2,49;4,85;0,46;0,34;2,88;45,45;15,909;39,62;3,21;0,46;18,55;0,92
N. Elphege;Niort;CF;23;;1692;9;9,69;1,95;2,02;0,48;0,52;2,02;55,26;23,684;19,11;3,14;0,16;15,53;0,43
I. Camara;Nîmes;RW, CF, LW;23;2024-06-30;1323;3;2,5;1,84;3,67;0,2;0,17;1,43;38,1;14,286;30;2,86;0,61;18,37;0,88
E. Lepaul;Angers SCO;CF;23;;1548;12;9,02;1,45;2,03;0,7;0,52;2,73;42,55;25,532;30,77;3,26;0,17;17,15;0,52
A. Kerouedan;Avranches;CF, RW, AMF;24;2024-06-30;2161;12;11,6;2,67;3,08;0,5;0,48;2,83;30,88;17,647;48,09;3,08;0,29;17,7;0,96
M. Prunier;Versailles;CF;24;2025-06-30;1497;4;4,61;1,95;2,04;0,24;0,28;1,5;44;16;29,52;3,73;0,42;13,95;0,36
C. M'Buyi;Villefranche;CF;24;2024-06-30;1327;3;4,58;2,74;2,04;0,2;0,33;2,11;37,93;10,345;23,53;3,78;0,22;18,41;1,02
L. Socka Bongué;GOAL FC;CF, RWF;25;2024-06-30;1612;2;3,43;1,87;2,62;0,11;0,19;1,51;33,33;7,407;30,92;2,29;0,33;14,24;0,45
K. Bouhmidi;Marignane Gignac CB;CF;25;;1462;3;6,28;0,5;1,89;0,18;0,4;2,33;35,14;8,108;25,31;3,02;0,06;13,53;0,25
D. Loppy;Rouen;CF, LW, LWF;26;2024-06-30;1453;2;3,95;2,58;3,41;0,12;0,24;1,18;52,63;10,526;36,36;3,34;0,5;25,02;0,74
Alexis Gonçalves;GOAL FC;LWF, LW, CF;26;2024-06-30;1357;4;3,5;0,76;1,99;0,27;0,23;1,46;40,91;18,182;23,93;2,45;0,66;9,68;0,6
B. Labissiere;Épinal;CF, RW, RAMF;27;2024-06-30;1609;4;2,41;2,42;1,57;0,22;0,13;0,95;47,06;23,529;29,9;2,29;0,84;19,13;0,56
K. Zohi;Sochaux;CF;27;2024-06-30;1448;6;7,31;3,83;2,44;0,37;0,51;2,58;37,84;13,514;22,32;3,83;0,21;15,17;0,42
Y. Jarju;Cholet;CF;27;2024-06-30;1755;7;7,12;2,28;1,66;0,36;0,38;2,14;42,5;17,5;24,18;3,38;0,59;12,06;0,38
A. Rabillard;Le Mans;CF;28;;1450;4;3,72;3,1;1,55;0,25;0,23;1,37;50;18,182;23,61;3,72;0,68;21,41;0,99
Y. Le Méhauté;Le Mans;CF, AMF, LCMF;29;;1414;3;1,66;2,81;2,16;0,19;0,11;0,76;58,33;25;36,46;1,08;0,19;37,62;1,27
D. Diarra;Marignane Gignac CB;CF, RWF, RW;29;;2011;13;7,09;2,68;3,14;0,58;0,33;1,64;62,86;37,143;27,8;2,48;0,75;15,41;0,52
A. Dabasse;Orléans;CF;30;2024-06-30;1546;4;8,24;2,73;3,49;0,23;0,49;2,95;46;8;31,91;4,96;0,35;19,8;1,06
O. Abdeldjelil;Cholet;CF, AMF;30;;1374;4;4,81;3,36;1,59;0,26;0,32;1,85;39,29;14,286;20,86;2,18;0,33;13,43;0,33
G. Durbant;Châteauroux;CF;31;;1760;9;12,15;1,22;1,57;0,46;0,66;2,11;53,85;23,077;24,19;2,75;0,11;13,93;0,27
K. Hoggas;Sochaux;AMF, LCMF, CF;32;;1668;7;5,29;3,39;2,39;0,38;0,29;1,39;56;28;31,53;2,17;0,33;31,24;2,45
K. Schur;Dijon;CF, RAMF, RWF;33;;1324;3;4,16;2,57;3,26;0,2;0,28;1,43;47,62;14,286;32,74;1,97;0,14;21;2,04
I. Ba;Villefranche;CF;33;;1449;1;3,14;2,67;0,65;0,06;0,2;0,97;26,67;6,667;30,2;2,4;0,13;13,43;0,71
A. M'Madi;Épinal;CF, LW;33;2024-06-30;1469;0;0,77;2,61;2,57;0;0,05;0,74;25;0;32,63;1,59;0,92;26,22;1,29
K. Tlili;Martigues;CF, LAMF, RAMF;34;;1638;5;2,89;2,62;5,08;0,27;0,17;1,73;60;16,667;34,19;1,79;0,46;25,73;1,38
K. Fortuné;Orléans;CF, AMF;34;2024-06-30;1663;7;5,55;1,82;3,89;0,38;0,32;2,12;29,73;16,216;37,2;2;0,4;28,38;1,49
C. N'Doye;Red Star;CF;37;2024-06-30;1388;4;4,3;2,56;1,1;0,26;0,3;2,13;32,26;12,903;20,29;3,09;0,21;11,33;0,34