Player;Team;Age;Market value;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Passes per 90;Accurate passes, %;Lateral passes per 90;Accurate lateral passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
A. Kanté;Troyes;18;0;11,59;10,94;63,73;40;5,28;43,39;85,66;17,97;90,15;38,99;89,96;4,02;49,33;4,34;58,02;4,77;66,29
M. Adeline;Annecy;20;0;10,34;8,45;53,06;53,26;5,48;34,02;75,51;11,95;83,17;30,75;81,87;2,24;20,51;5,69;62,63;3,97;65,22
O. Gene;Amiens SC;20;0;12,26;9,72;57,95;31,11;8,21;41,74;87,17;17,61;91,85;39,09;89,55;2,26;56,1;5,3;75;5,63;75,49
H. Gambor;Gent;21;400000;7,85;5,15;64,36;46,15;5,19;49,13;88,9;22,22;96,79;44,03;92,01;4,89;62,5;5,35;79,05;7,29;67,13
J. Janneh;Bastia;21;0;12,09;9,8;67,62;53,85;6,2;43,13;82,58;15,54;87,99;37,58;87,45;5,32;50,88;5,6;62,5;5,98;69,53
D. Kruse;Valenciennes;21;400000;7,1;7,94;53,38;34,78;3,45;31,03;85,58;11,16;95,19;29,06;88,09;1,73;44,83;3,28;69,09;3,1;53,85
M. Diop;Troyes;23;0;6,34;4,91;57,61;41,86;4,23;33,75;86,1;12,1;91,19;31,08;89,37;2,13;57,5;3,47;76,92;4,21;65,82
G. Barès;Concarneau;23;500000;7,35;5,42;59,52;48,48;5,64;49,1;87,25;18,39;92,28;43,23;93,13;5,29;45,12;6,26;67,01;5,23;72,84
G. Haag;Rodez ;23;300000;10,47;8,96;59,15;61,86;5,51;39,41;87,51;18,21;94,23;35,03;90,88;4,04;62,5;6,01;74,83;5,38;75
B. Pierret;Quevilly Rouen;23;800000;10,76;8,17;63,78;61,68;5,7;46,38;84,71;18,98;91,21;38,29;90,09;7,72;60;9,01;70,83;6,84;78,66
A. Phliponeau;Concarneau;24;500000;8,19;9,05;59,24;23,21;3,38;57,1;89,48;23,04;93,67;52,25;92,2;4,72;61,82;6,86;80;6,99;74,23
T. Ducrocq;Bastia;24;1000000;11,72;9,04;60,31;41,1;6,68;39,44;79,75;13,69;90,23;34,37;85,98;4,29;41,8;6,79;65,8;6,16;64
J. Anziani;Dunkerque;24;350000;8,79;6,77;58,87;46,94;5,58;38,56;81,82;12,1;87,7;33,57;87,55;3,7;51,95;4,47;62,37;4,8;69
D. Rigo;Grenoble;25;600000;9,99;7,05;61,27;44,74;6,44;42,49;83,81;16,87;92,83;36,96;88,49;5,32;53,25;6,09;61,93;6,71;65,98
N. Cadiou;Quevilly Rouen;25;400000;9,59;7,45;61,24;41,1;5,74;46,55;81,47;18,8;88,42;40,69;85,08;5,23;58,4;8,04;67,71;6,53;75,64
K. Kaïboué;Amiens SC;25;800000;11,7;8,97;62,89;52,11;5,91;42,64;77,44;15,17;85,37;32,56;86,79;8,19;51,98;8,28;62,57;8,69;76,6
J. Masson;Valenciennes;25;700000;10,47;9,45;65,52;50;5,05;35,35;86,41;13,93;93,57;31,52;91,09;3,22;46,84;3,83;67,02;3,83;67,02
Pedro Díaz;Bordeaux;25;2500000;7,08;5,97;55,13;23,81;5,63;54,44;85,94;21,09;91,47;49;89,53;4,63;57,02;8,19;73,83;6,93;82,32
L. Fomba;Saint-Étienne;26;1800000;10,45;8,46;62,6;42;6,28;36,65;87,24;12,86;91,44;34,72;89,11;1,72;60;5,57;71,6;4,19;80,33
E. Owusu;Auxerre;26;2500000;9,08;6,78;59,33;35,14;6,75;49,88;91,94;21,55;95,39;47,3;93,79;2,44;61,11;6,23;74,64;4,92;79,82
A. Dioussé;Auxerre;26;900000;10,29;7,36;60,94;35,29;7,84;56,76;89,06;24,67;94,17;51,47;92,4;5,06;57,95;8,28;70,83;7,88;81,02
J. Gelin;Amiens SC;26;2000000;8,08;6,65;60,32;54,29;4,42;43,47;82,02;15,9;89,04;35,39;89,1;7,55;52,45;8,93;67,46;8,93;75,15
D. Ignatenko;Bordeaux;27;1800000;11,82;5,58;55,22;59,48;10,8;58,61;87,5;25,1;92,87;52,62;90,27;5,87;63,12;9,2;70,59;7,37;74,01
R. Raveloson;Auxerre;27;1500000;6,98;4,49;57,27;36,67;6,08;45,74;87,14;20,99;90,86;41,28;91,1;3,59;54,55;6,17;74,83;6,25;73,86
A. Camara;Paris;27;0;10,4;7,79;62,42;52,38;6,19;42,07;89,57;15,84;95,05;38,1;90,67;3,61;84,06;5,7;78,9;5,02;81,25
F. Boya;Amiens SC;27;850000;12,6;8,79;55,26;61,54;9,4;39,94;79,45;16,07;88,49;33,35;87,18;5,9;43,14;5,66;53,06;5,84;68,32
S. D'Almeida;Pau;28;600000;9,38;6,8;52,07;35,71;6,13;42,87;84,8;19,44;91,04;36,52;90,46;5,62;57;4,78;77,65;5,17;70,65
M. Etuin;Concarneau;28;400000;7,01;5,75;60,63;40;4,36;49,95;85,69;17,6;89,97;43,76;90,28;5,2;56,52;6,2;75,18;6,43;69,01
D. Louiserre;Guingamp;29;1200000;8,89;6,11;60,49;31,37;5,94;45,23;86,17;17,26;91,7;39,61;90,01;5,35;59,86;7,2;71,2;6,52;75,72
R. Boissier;Dunkerque;30;700000;9,49;7,6;62,02;51,67;5,68;37,78;86,74;16,74;89,79;33,6;91,05;3,83;53,85;4,24;69,44;4,18;63,38
F. Tardieu;Saint-Étienne;31;2500000;9,98;8,31;63,22;54,72;5,26;65,7;89,53;23,11;94,21;59,92;91,55;5,54;70,69;10,17;78,87;10,46;76,26
J. Lopy;Angers SCO;31;500000;7,66;6,54;58,96;58,7;4,88;39;90,36;18,99;95,63;37,14;92,9;1,56;46,88;3,07;80,95;3,17;66,15
C. Mandouki;Paris;32;450000;7,31;6,57;53,76;55,17;4,88;43,59;83,79;17,27;89,16;38,01;87,92;4,77;57,78;5,93;68,45;6,08;65,7
X. Chavalerin;Troyes;33;1800000;8,22;5,01;62,3;20,83;5,28;31,77;80,08;10,27;82,8;26,71;86,46;3,66;53,93;4,89;58,82;4,89;71,43
Y. M'Changama;Troyes;33;1000000;5,13;3,58;50,94;40,91;3,72;40,41;84,81;14,03;93,27;36,23;88,27;3,44;50,98;5,26;58,97;5,13;71,05
V. Pajot;Annecy;33;500000;8,37;6,82;55,84;50;4,66;23,43;79,77;6,64;86,67;20,6;85,16;2,52;42,11;3,1;62,86;2,83;73,44
A. Kashi;Annecy;35;300000;8,88;5,74;64,29;40;5,29;33,66;84,18;15,5;91,63;30,25;86,91;3,35;61,22;4,03;67,8;4,85;57,75
J. Roye;Laval;35;300000;7,67;5,1;54,62;40;5,23;38,66;81,49;13,8;87,89;32,61;86,99;5,57;54,62;5,87;69,34;5,91;71,01
T. Mangani;Ajaccio;36;600000;10,55;7,07;62,43;50,41;7,09;53,14;84,65;17,21;92,61;43,33;89,46;9,13;65,98;8,2;73,52;10,67;72,63
P. Capelle;Angers SCO;36;300000;10;7,26;61,69;44,74;6,87;41,42;83,96;16,54;88,21;35,72;88,37;4,84;61,94;5,81;75,16;6,25;73,41